"Title","Score","Best"
"Confidence Band Estimation for Survival Random Forests","1","Confidence Band Estimation for Random Survival Forests"
"Multivariate computational analysis of biosensor's data for improved CD64 quantification for sepsis diagnosis","1","Multivariate computational analysis of biosensor data for improved CD64 quantification for sepsis diagnosis"
"Calibrate and debias layer-wise sampling for graph convolutional networks","0.909","Calibrate and Debias Layer-wise Sampling for Graph Convolutional Networks. TMLR"
"Differential effects of influenza virus NA, HA head, and HA stalk antibodies on peripheral blood leukocyte gene expression during human infection. mBio 10: e00760-19","0.889","Differential effects of influenza virus NA, HA head, and HA stalk antibodies on peripheral blood leukocyte gene expression during human infection"
"orthoDr: Semiparametric Dimension Reduction via Orthogonality Constrained","0.875","orthoDr: Semiparametric Dimension Reduction via Orthogonality Constrained Optimization"
"Counting process-based dimension reduction methods for censored outcomes","0.8","Counting Process Based Dimension Reduction Method for Censored Outcomes"
"Random forest weighted local Fréchet regression with random objects","0.778","Random forest weighted local Frechet regression with random objects"
"Reinforcement learning with continuous actions under unmeasured confounding","0.778","Policy Learning with Continuous Actions Under Unmeasured Confounding"
"Quasi-optimal reinforcement learning with continuous actions","0.75","Quasi-optimal Reinforcement Learning with Continuous Treatments"
"POPULATION ANALYSIS OF MORTALITY RISK: PREDICTIVE MODELS USING MOTION SENSORS FOR 100,000 PARTICIPANTS IN THE UK BIOBANK NATIONAL COHORT","0.7","Population analysis of mortality risk: Predictive models from passive monitors using motion sensors for 100,000 UK Biobank participants"
"Consistency of survival tree and forest models","0.667","Consistency of survival forest and tree models: splitting bias and correction"
"Tree-based methods for survival analysis and high-dimensional data","0.583","Random Forests for Survival Analysis and High-Dimensional Data"
"Integrating Prior Knowledge From Genome-Scale Metabolic Model With Metabolomics for Diet Assessment","0.562","Augmenting nutritional metabolomics with a genome-scale metabolic model for assessment of diet intake"
"Estimating Optimal Treatment Regimes Using Multivariate Random Forests","0.545","Estimating Heterogeneous Treatment Effect on Multivariate Responses using Random Forests"
"Combining biomarkers with EMR data to identify patients in different phases of sepsis","0.5","Combining biomarkers with EMR data to improve sepsis identification"
"Revisiting layer-wise sampling in fast training for graph convolutional networks","0.5","Calibrate and Debias Layer-wise Sampling for Graph Convolutional Networks. TMLR"
"Estimating optimal infinite horizon dynamic treatment regimes via pt-learning","0.429","Solving Infinite Horizon Dynamic Treatment Regimes: A Proximal Temporal Consistency Learning Approach"
"publisher correction: combining Biomarkers with eMR Data to Identify Patients in Different phases of Sepsis","0.429","Combining biomarkers with EMR data to improve sepsis identification"
"Validation of a Machine Learning Diagnostic Tool for the Prediction of Sepsis and Critical Illness","0.4","FDA-Authorized AI/ML Tool for Sepsis Prediction: Development and Validation"
"Cognitive Outcome Forecasting Using Supervised Machine Learning: A Multi-Factor Analysis With Anthropometrics, Demographics, Diet Indices, and Cardiovascular Markers","0.364","Predicting Cognitive Outcome Through Nutrition and Health Markers Using Supervised Machine Learning"
"Microbial Analysis of Peritoneal Fluid as a Screening Tool for Epithelial Ovarian Cancer","0.263","Assessment of peritoneal microbial features and tumor marker levels as potential diagnostic tools for ovarian cancer"
"Microbial Analysis of Peritoneal Fluid as a Screening Tool for Epithelial Ovarian Cancer [28D]","0.25","Assessment of peritoneal microbial features and tumor marker levels as potential diagnostic tools for ovarian cancer"
"Systems and methods for normalization of machine learning datasets","0.25","Diagnostic and prognostic capabilities of a biomarker and EMR based machine learning algorithm for sepsis"
"Systems and methods for adaptative training of machine learning models","0.235","Diagnostic and prognostic capabilities of a biomarker and EMR based machine learning algorithm for sepsis"
"From Problem to Method: Designing Multiview Sequential Canonical Covariance Analysis for Online Word-of-Mouth Dynamics","0.222","Analyzing the online word of mouth dynamics: A novel approach"
"Optimizing Dynamic Treatment Strategies with Reinforcement Learning and Dual-Hawkes Process in Clinical Environments","0.176","Quasi-optimal Reinforcement Learning with Continuous Treatments"
"A time-sensitive trigger for a streaming data environment","0.167","Integrating Multidimensional Omics Data for Cancer Outcome"
"Vector-Valued Distributional Reinforcement Learning Policy Evaluation: A Hilbert Space Embedding Approach","0.167","Reinforcement Learning Trees"
"Identifying Factors Associated with State Psychiatric Hospital use to Inform Admission, Referral, and Policy Decision-Making: Health Services, and Policy Research (HSP): P1-31","0.148","The Effects of State Psychiatric Hospital Waitlist Policies on Length of Stay and Time to Readmission"
"A tool for selecting relevant features in precision diagnostics","0.143","FDA-Authorized AI/ML Tool for Sepsis Prediction: Development and Validation"
"AI in Pharma for Personalized Sequential Decision-Making: Methods, Applications and Opportunities","0.136","Statistics in Precision Health: Theory, Methods and Applications (pp. 65-100). Cham: Springer International Publishing. Editor: Yichuan Zhao"
"Analyzing big data in management: re-visiting the entrepreneurial entry problem","0.133","Analyzing the online word of mouth dynamics: A novel approach"
"The Sepsis ImmunoScore Predicts Sepsis, Mortality, and Deterioration Better than Clinical Scores and Widely Available Biomarkers","0.12","Dietary patterns among US food insecure cancer survivors and the risk of mortality: NHANES 1999 2018"
"Analyzing Big Data in Entrepreneurship: Replicating and Extending Evans and Leighton (1989)","0.118","Random Forests for Survival Analysis and High-Dimensional Data"
"Corrected kernel principal component analysis for model structural change detection","0.118","Random Forests for Survival Analysis and High-Dimensional Data"
"The impact of almond and walnut consumption on the human fecal metabolome","0.105","Proceedings of the 14th ACM International Conference on Bioinformatics, Computational Biology, and Health Informatics (pp. 1-10)"
"Applying Machine-Learning to Human Gastrointestinal Microbial Species to Predict Dietary Intake (P20-040-19)","0.091","Predicting Cognitive Outcome Through Nutrition and Health Markers Using Supervised Machine Learning"
"Sage Research Methods: Doing Research Online","0.083","Analyzing the online word of mouth dynamics: A novel approach"
"Detecting Gender Stereotype Biases Against Women Entrepreneurs in Large Language Models","0.067","Diagnostic checking for multivariate regression models"
"1615: QUANTIFYING ABNORMALITY OF THE HOST RESPONSE IN A COHORT OF PATIENTS SUSPECTED OF HAVING SEPSIS","0.056","Analyzing the online word of mouth dynamics: A novel approach"
"Package ‘RLT’","0",""
"Peng Yu","0",""
